time,value
2022-10-05T07:55:04.168Z,81
2022-10-05T07:55:32.084Z,82
2022-10-05T07:55:33.952Z,81
2022-10-05T07:55:37.196Z,82
2022-10-05T07:55:39.073Z,81
2022-10-05T07:55:55.835Z,82
2022-10-05T07:55:57.699Z,81
2022-10-05T07:55:59.586Z,82
2022-10-05T07:56:01.441Z,81
2022-10-05T07:56:04.684Z,82
2022-10-05T07:56:06.568Z,81
2022-10-05T07:56:12.509Z,82
2022-10-05T07:56:14.36Z,81
2022-10-05T07:56:21.982Z,75
2022-10-05T07:56:23.83Z,76
2022-10-05T07:56:25.713Z,75
2022-10-05T07:57:02.346Z,74
2022-10-05T07:57:04.255Z,75
2022-10-05T07:57:09.409Z,74
2022-10-05T07:57:11.305Z,75
2022-10-05T07:57:18.352Z,74
2022-10-05T07:57:20.262Z,75
2022-10-05T07:57:22.458Z,74
2022-10-05T07:57:25.696Z,75
2022-10-05T07:57:30.809Z,74
2022-10-05T07:57:32.698Z,75
2022-10-05T07:57:39.197Z,74
2022-10-05T07:57:44.323Z,75
2022-10-05T07:57:46.223Z,74
2022-10-05T07:57:55.718Z,75
2022-10-05T07:57:57.636Z,74
2022-10-05T07:58:04.169Z,75
2022-10-05T07:58:06.026Z,74
2022-10-05T07:58:21.754Z,75
2022-10-05T07:58:23.947Z,74
2022-10-05T08:01:07.33Z,73
2022-10-05T08:01:09.2Z,74
2022-10-05T08:01:11.042Z,73
2022-10-05T08:01:12.905Z,74
2022-10-05T08:01:16.119Z,73
2022-10-05T08:01:17.962Z,74
2022-10-05T08:01:23.036Z,73
2022-10-05T08:01:24.904Z,74
2022-10-05T08:01:30.285Z,73
2022-10-05T08:01:34.832Z,74
2022-10-05T08:01:36.713Z,73
